rodDer-X,rodDer-Y,rodDer-Z,rodIzq-X,rodIzq-Y,rodIzq-Z,tobDer-Y,tobDer-X,tobDer-Z,tobIzq-X,tobIzq-Y,tobIzq-Z,pecho-X,pecho-Y,caso
3.6796875,3.743164063,3.982421875,3.674804688,3.762695313,4.036132813,3.801757813,3.943359375,4.3046875,3.684570313,3.71875,4.01171875,3.567382813,3.733398438,0
3.791992188,3.81640625,4.241210938,3.791992188,3.938476563,4.026367188,3.635742188,3.948242188,4.006835938,3.3671875,3.645507813,3.923828125,3.665039063,3.752929688,0
3.6796875,3.69921875,3.997070313,3.73828125,3.796875,4.0703125,3.7578125,3.337890625,4.504882813,3.689453125,3.528320313,4.133789063,3.606445313,3.640625,1
4.216796875,3.625976563,3.997070313,3.811523438,3.875,3.860351563,3.640625,3.782226563,4.03125,3.420898438,3.645507813,3.89453125,3.655273438,3.73828125,0
3.591796875,3.6796875,4.05078125,3.782226563,3.81640625,3.967773438,3.66015625,3.630859375,4.065429688,3.674804688,3.596679688,4.01171875,3.396484375,3.62109375,1
3.533203125,3.713867188,3.909179688,3.713867188,3.73828125,4.0703125,3.611328125,3.865234375,4.446289063,3.694335938,3.708984375,4.392578125,3.6015625,3.630859375,0
3.704101563,3.708984375,4.006835938,3.69921875,3.606445313,4.299804688,3.655273438,3.796875,4.055664063,3.596679688,3.616210938,3.9921875,3.62109375,3.73828125,0
3.733398438,3.743164063,3.93359375,3.650390625,3.640625,4.1875,3.640625,4.543945313,4.211914063,3.58203125,3.420898438,4.075195313,3.674804688,3.71875,0
3.547851563,3.650390625,4.006835938,3.884765625,3.928710938,3.879882813,3.635742188,3.806640625,4.05078125,3.606445313,3.557617188,4.158203125,3.684570313,3.787109375,0
3.733398438,3.909179688,4.041015625,3.713867188,3.845703125,3.8359375,3.630859375,3.796875,4.036132813,3.596679688,3.62109375,3.977539063,3.669921875,3.743164063,0
3.430664063,3.689453125,3.870117188,3.7578125,3.782226563,3.997070313,3.684570313,3.323242188,4.12890625,3.684570313,3.58203125,4.026367188,3.513671875,3.748046875,1
3.640625,3.689453125,4.03125,3.948242188,3.635742188,4.0703125,3.669921875,3.821289063,4.05078125,3.567382813,3.567382813,3.953125,3.586914063,3.733398438,0
3.704101563,3.669921875,4.026367188,3.899414063,3.89453125,4.045898438,3.645507813,3.806640625,4.045898438,4.319335938,3.557617188,4.006835938,3.6796875,3.791992188,0
3.6015625,3.728515625,3.943359375,3.684570313,3.772460938,4.084960938,3.474609375,3.748046875,4.319335938,3.767578125,3.689453125,4.255859375,3.538085938,3.665039063,0
3.708984375,3.684570313,4.03125,3.923828125,3.938476563,3.923828125,3.625976563,3.811523438,4.20703125,3.689453125,3.640625,4.001953125,3.577148438,3.77734375,0
3.889648438,3.81640625,4.065429688,4.055664063,3.845703125,3.840820313,3.650390625,3.58203125,4.060546875,3.640625,3.5625,3.801757813,3.567382813,3.713867188,1
3.508789063,3.845703125,4.104492188,3.557617188,3.533203125,4.280273438,3.73828125,3.147460938,4.28515625,3.401367188,3.528320313,4.290039063,3.62109375,3.665039063,0
3.674804688,3.650390625,4.041015625,3.689453125,3.831054688,3.967773438,3.635742188,3.811523438,4.03125,4.241210938,3.508789063,3.987304688,3.655273438,3.811523438,0
3.704101563,3.694335938,4.03125,3.665039063,3.918945313,4.197265625,3.66015625,3.811523438,4.041015625,3.708984375,3.694335938,4.006835938,3.567382813,3.801757813,0
3.518554688,3.6796875,3.93359375,3.73828125,3.713867188,4.006835938,3.694335938,3.826171875,4.490234375,3.733398438,3.665039063,4.24609375,3.62109375,3.73828125,0
3.8359375,3.81640625,3.97265625,3.713867188,3.8359375,4.03125,3.557617188,3.77734375,4.124023438,3.689453125,3.694335938,4.016601563,3.577148438,3.73828125,0
3.704101563,3.665039063,4.036132813,3.811523438,3.884765625,3.928710938,3.645507813,3.806640625,4.041015625,4.109375,3.596679688,4.05078125,3.650390625,3.821289063,0
3.591796875,3.42578125,3.943359375,3.806640625,3.791992188,3.962890625,3.723632813,3.567382813,4.03125,3.728515625,3.591796875,4.016601563,3.318359375,3.743164063,1
3.538085938,3.708984375,3.899414063,3.845703125,3.77734375,4.2265625,3.625976563,3.235351563,4.197265625,3.708984375,3.6015625,3.81640625,3.596679688,3.611328125,1
